持股人,公司,分数
89,14,-15.187476
92,74,-58.243816
47,71,-7.9478555
44,39,-3.1821892
148,16,-6.047925
29,51,-1.8036143
26,19,-2.8794687
148,44,-3.4851067
113,67,-3.182185
48,13,-5.241815
69,1,-2.338548
84,66,-2.0752227
128,3,-5.59538
157,2,-124.9734
9,38,-53.410892
143,68,-3.3326147
101,15,-6.457616
22,46,-5.0371084
56,40,-6.641172
5,80,-2.561133
64,25,-3.1821876
122,8,-2.8735843
122,36,-4.231126
125,68,-3.3326125
156,65,-6.9276443
81,2,-124.97339
77,33,-18.906677
140,74,-58.24382
22,18,4.6265745
35,90,0.058073297
32,58,-1.5599989
36,27,-4.4711313
136,63,-1.7138822
14,38,-53.410892
144,48,-34.59207
6,27,-4.471125
2,16,-6.047921
57,20,-3.1821868
153,1,-2.338548
97,14,-15.187478
93,73,-2.8227267
36,65,-6.927644
14,76,-3.1821828
15,13,-5.241819
18,45,-4.811957
52,39,-3.1821914
110,22,-3.1821914
118,35,-14.501809
65,47,-3.8814678
73,32,-25.20721
73,60,-1.4212608
32,26,-3.1821895
129,2,-124.97335
90,9,-56.20644
10,37,-6.092445
129,30,-2.0021563
132,62,5.0220127
158,1,-2.3385437
161,33,-18.906675
161,61,-11.964684
45,34,-42.035454
145,70,-3.1821887
26,77,0.16348319
23,45,-4.811955
27,14,-15.187476
85,33,-18.906672
82,1,-2.3385503
129,68,-3.3326128
162,8,-2.8735886
106,21,-3.1821866
102,80,-2.5611286
145,42,-4.680983
6,64,-1.6859695
37,26,-3.1821892
40,58,-1.5599989
27,52,-29.678364
106,54,-46.74619
53,66,-2.0752187
61,79,-3.8743079
86,8,-2.8735867
82,67,-3.1821892
154,0,-3.588051
74,87,-3.1821895
37,64,-1.6859733
141,69,-3.182185
99,16,-6.047923
19,44,-3.4851043
33,53,-3.1821868
114,81,-3.1821847
3,53,-3.1821868
150,27,-4.471129
94,40,-6.641172
91,8,-2.8735867
94,68,-3.3326108
133,61,-11.964684
166,1,-2.338548
15,71,-7.9478536
12,39,-3.1821918
46,33,-18.906677
49,65,-6.9276443
146,69,-3.1821847
115,61,-11.964684
70,86,-12.006968
7,58,-1.5599989
163,7,-0.74677
166,67,-3.1821868
129,88,-15.562331
0,38,-53.41089
7,63,-1.7138822
8,0,-3.588051
87,35,-14.501803
103,9,-56.20645
126,56,-3.1821868
28,51,-1.8036166
28,79,-3.874304
42,60,-1.4212558
123,88,-15.562331
58,34,-42.03545
124,30,-2.0021582
87,7,-0.7467681
82,87,-3.1821918
45,64,-1.685974
8,38,-53.410892
42,32,-25.207216
100,15,-6.457616
103,47,-3.881468
103,75,-3.1821847
38,21,-3.1821866
142,68,-3.3326147
146,9,-56.206448
58,72,2.2938097
55,40,-6.641172
59,9,-56.206448
66,85,-1.9399115
124,68,-3.3326128
151,26,-3.1821914
154,86,-12.006964
38,59,-1.8580538
139,4,-3.3118794
16,70,-3.182185
17,7,-0.7467702
20,39,-3.1821918
112,16,-6.047925
67,41,-3.2402952
75,26,-3.1821914
88,29,-2.0838342
